,Country,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
76,Malawi,732390.1671840788,766812.5050417308,840426.5055257371,904632.8782614709,979971.7019572299,1047335.6,1098173.84720686,1118883.20420935,1177065.13082823,1244157.84328544,1280860.4996623602,1309936.0330047,1362333.47432489,...,...
77,Malaysia,729820,770576,819115,858696,845697,909361,957498,1009908,1057310,1120819,1176941,1229312,1299898,1361532,...
78,Maldives,29865.615780474705,37567.362949262,40621.7534500396,44487.75666076731,41538.883390940595,44485.2182568016,48235.640799955,49387.341903578,52983.2708328437,56866.7464597965,58507.0954091096,62771.7865954089,67110.3806727522,72153.1948533583,...
79,Mali,2972426.68169318,3111006.7684376403,3219693.4239381403,3373374.0621533,3535509.29092034,3723383.9664134504,3843021.2743979106,3810869.5017146,3898663.0540787694,4175523.58353016,4433048.132778429,4688571.90622476,4942623.73962579,5172484.738148401,...
80,"Marshall Islands, Republic of",139.811376926146,145.394645685756,141.976060828975,139.463969805093,149.304472679048,150.109625743804,154.557763004749,158.958473630124,158.139542508489,157.166142893143,160.370146963644,166.177535738323,170.27918089966403,...,...
81,Mauritania,529441.9761084929,629342.908463236,647076.764371605,654064.981019949,647249.089543763,678146.801016788,710047.277731468,751195.072485194,796945,841410.6803885379,844455.868354316,859822.0775089388,889583.383321601,...,...
82,Mauritius,204225.946879557,...,226301,238590,245970,256069,266093,274326,298034,309183,319907,331892,...,...,...
83,Mexico,13887072.52,14511307.247,14843825.97525,15013577.681,14219998.379,14947794.69575,15495333.601,16059723.65075,16277187.078,16733654.767,17283855.93,17786910.58675,18163652.487,18551620.026,...
84,"Micronesia, Federated States of",245.520391215506,245.204455699995,240.482967525668,235.146313480334,237.97003000853695,245.78417080428295,248.211633553833,244.078336608162,236.648680900262,230.936280707862,239.475481606036,246.758196454635,251.811094609075,...,...
85,Moldova,...,...,...,...,...,71885.4742106839,76784.8746763334,76221.74290874151,83386.7686340246,87383.2025313974,87008.9893069689,90898.4396507097,111356.81598,...,...
86,Mongolia,7319776.39063572,7917283.625073191,8610580.55771541,9283835.81756685,9091707.97802162,9756588.44,11443578.41,12853406.64,14350689.2,15482273.4,15850726.1,16035924.9,16886096.5,...,...
87,Morocco,581401.0527595041,625440.0408355971,647530,685885,714992.294852286,742274.384012602,781211.851349282,804726.0254313571,841223.7642743819,863680.1816171351,902973.329101056,912542.771639331,950878.141039268,978978.325862342,...
88,Mozambique,223858.451290532,245910.871464174,264171.732177734,282337.384521484,300269.919433594,320350.81999588,343152.54296875,367853.501953125,394123.0625,423462.17578125,451384.8515625,468371.75214767497,485874.885774136,...,...
89,Myanmar,25737544.0713147,29162408.088761102,32807851.680659305,35287595.6949897,36835107.7402223,38767719.4927718,40888820.3,43540768.6,46979910,50832186.55,54630719.85,57444492.004521705,61082879.7,65251758.7,...
90,Namibia,34221.9482006518,35572.8618514072,36869.882670350504,37846.865249023,37958.8809737787,40251.3124999398,42300.6429144925,44441.7669795254,46937.0484050802,49918.3371041898,52956.5541016109,53551.3483029974,53086.5867897792,53046.9430731337,...
91,Nepal,497738.958185134,514485.63276113896,532038.155002017,564516.8972416241,590107.2007632259,618529.146841094,639694.080381274,670279.356857634,697954.2332550129,739754.3580105748,764335.6957987539,768835.175734757,832060.3324407049,887455.02089306,950033.037886845
92,New Zealand,180183,185148,192456,191638,192293,196106,199828,204951,209451,216036,224679,234046,240259,246945,...
93,Niger,1554015.37109059,1644250.8052388,1696302.16123028,1859987.4819916296,1846747.86036462,2001135.95562236,2045349.94539214,2287720.21555344,2408246.99117647,2589564.44578107,2701857.20115425,2834976.01758876,2973735.94413684,3166475.31016983,...
